Station Name,Entry_MTT,Entry_FRI
Tufnell Park,6840,7201
Turkey Street,2082,2036
Turnham Green,10438,10905
Turnpike Lane,16048,17117
Upminster,7269,7033
Upminster Bridge,2199,2041
Upney,4808,4790
Upper Holloway,1927,1863
Upton Park,16873,17121
Uxbridge,14055,13826
Vauxhall,50315,51860
Victoria,98479,102619
Walthamstow Central,26321,26835
Walthamstow Queen's Road,1149,1057
Wandsworth Road,1722,1073
Wanstead,4658,4732
Wanstead Park,1724,1779
Wapping,4276,4662
Warren Street,37051,34540
Warwick Avenue,6750,6913
Waterloo,123112,125511
Watford,3124,3301
Watford High Street,2341,2642
Watford Junction,8894,8870
Wembley Central,9155,9428
Wembley Park,25100,27107
West Acton,2802,2886
West Brompton,9489,9683
West Croydon NR,9784,9671
West Ealing,2460,2151
West Finchley,2865,2850
West Ham,7795,7911
West Hampstead,7704,7426
West Hampstead,21229,21133
West Harrow,2395,2427
West India Quay,2889,4219
West Kensington,7883,8409
West Ruislip,2647,2602
West Silvertown,2895,3020
Westbourne Park,7283,7494
Westferry,8773,8759
Westminster,41398,39072
White City,16552,15965
White Hart Lane,4653,4566
Whitechapel,23527,22929
Willesden Green,13392,14150
Willesden Junction,9404,9544
Wimbledon,22478,23002
Wimbledon Park,4161,4215
Wood Green,18866,20492
Wood Lane,8169,8482
Wood Street,3862,3853
Woodford,9889,9915
Woodgrange Park,1488,1494
Woodside Park,6076,6249
Woolwich Arsenal,28768,29011
